key,name,gender,birthdate,deathdate
,,,,
Q10129841,곽재구,m,19540101,
Q102098,문근영,f,19870506,
Q1026482,정성룡 (야구 선수),m,19640519,
Q1027411,유옥렬,m,19730301,
Q1029333,송광식,m,19660322,
Q10305239,장다연,f,19950101,
Q10316865,이주형,m,19920101,
Q10318440,Linda Kim,f,19860831,
Q1031888,김소연,f,19700123,
Q1031892,박종선,m,19281210,
Q10321830,지해,f,19890514,
Q10323487,박만복,m,19360830,20190926
Q10384345,이병근,m,19730428,
Q10393422,웨즐레이 알레스 마이올리누,m,19880210,
Q10402252,양동현,m,19860328,
Q10421546,문민귀,m,19811115,
Q10421732,우성용,m,19740818,
Q10438846,윤시호,m,19840512,
Q10440393,조제 아우미르 바호스 네투,m,19850822,
Q10442137,강용,m,19790114,
Q10446469,허재원,m,19840701,
Q10446475,최병도,m,19840118,
Q10446499,이수환,m,19840303,
Q10446510,강진규,m,19830910,
Q10446527,유현구,m,19830125,
Q10447391,황지윤,m,19830528,
Q10447512,한동진,m,19790825,
Q10453297,황연석,m,19731017,
Q1046410,이준구,m,19320107,20180430
Q10563964,김태서,m,,12570101
Q1058075,최윤,f,19530703,
Q1058139,Cha Kwang-su,m,19790225,
Q1058147,차윤숙,f,19760220,
Q1058703,채진수,m,19580810,
Q1062006,김영주,m,19200921,
Q10658775,원덕왕후,f,,
Q10665,김정일,m,19410216,20111217
Q107403,한무,m,19400501,
Q1075512,Cho Chi-Hyo,m,19701206,
Q1075519,Cho Jeong-ki,m,20000101,
Q1075523,조성형,f,19660101,
Q1075524,See-Young Cho,m,19590101,
Q1075531,조영숙,f,19700610,
Q1075703,최철만,m,19850922,
Q1075707,최형민,m,19900415,
Q1075709,Choe Kum-Hui,f,19870701,
Q1075712,최수헌,m,19391007,
Q1075746,최지성,m,19510202,
Q1075749,최지태,m,19720719,
Q1075751,최혜인,f,19920808,
Q1075756,최민호,m,19800627,
Q1075759,최마리,f,19750330,
Q1075762,최성원 (1977년),m,19770430,
Q1076215,Choo Thomas,f,20000101,20130413
Q1080180,송혜교,f,19811122,
Q10822153,선우은숙,f,19591224,
Q10829234,Trấn Thành,m,19870205,
Q10855116,강능수,m,19300221,20150721
Q10855139,강윤지,f,19820429,
Q10855779,김경옥,m,,
